# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "24" "-F" "GFF" "-t" "gene" "-g" "ID" "-s" "2" "-a" "/mnt/data/transcriptomica/iperez/proyectofinal/data/genomes/E_coli_and_T4_fixed.gff" "-o" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/featureCounts/gene_counts.txt" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013136.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013137.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013138.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013139.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013140.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013141.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013142.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013143.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013144.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013145.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013146.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013147.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013148.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013149.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013150.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013136.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013137.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013138.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013139.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013140.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013141.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013142.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013143.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013144.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013145.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013146.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013147.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013148.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013149.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013150.bam
gene-b1081	ENA|U00096|U00096.3	1137371	1138312	+	942	268	960	759	1092	1697	881	3713	2987	2753	9519	9906	18355	4943	9298	8751
gene-b1082	ENA|U00096|U00096.3	1138378	1140021	+	1644	444	1241	1090	1725	2784	1456	6259	5021	4252	11122	13389	21084	6297	13948	10322
gene-b1083	ENA|U00096|U00096.3	1140033	1140986	+	954	286	789	633	1493	2264	1011	4812	3703	2883	8081	9876	12969	4971	9800	9437
gene-b4826	ENA|U00096|U00096.3	1140986	1141063	+	78	2	7	4	16	34	11	82	74	84	129	162	171	40	86	108
gene-b1084	ENA|U00096|U00096.3	1141182	1144367	-	3186	1215	3879	2988	5988	8903	4141	20776	16970	13032	37814	48473	65262	25895	53739	48182
gene-b1085	ENA|U00096|U00096.3	1144502	1144822	+	321	0	1	1	1	1	0	1	2	58	7	6	12	0	8	8
gene-b1086	ENA|U00096|U00096.3	1144940	1145899	+	960	102	287	195	257	738	299	1278	1715	1385	1842	2223	2671	1103	3349	1923
gene-b1087	ENA|U00096|U00096.3	1146011	1146595	-	585	40	158	79	257	399	157	476	531	436	1409	2337	3018	998	2456	1840
gene-b4418	ENA|U00096|U00096.3	1146589	1146757	+	169	9	62	39	76	166	28	283	261	137	773	337	1071	501	831	645
gene-b1088	ENA|U00096|U00096.3	1146794	1147315	+	522	1017	3385	2427	5792	11765	4058	20376	18336	9425	35703	43457	53025	21508	50118	39756
gene-b1089	ENA|U00096|U00096.3	1147367	1147540	+	174	1516	4807	3645	12214	20454	8918	27091	24771	12639	31208	39407	54325	25100	62368	54718
gene-b1090	ENA|U00096|U00096.3	1147621	1148691	+	1071	770	2198	1603	5067	9590	4226	11477	9870	5384	15625	20489	24027	10428	27863	23521
gene-b1091	ENA|U00096|U00096.3	1148759	1149712	+	954	302	580	452	810	1768	698	2390	2791	2118	5021	5558	7211	3133	7469	6383
gene-b1092	ENA|U00096|U00096.3	1149728	1150657	+	930	394	1037	776	1782	3226	1235	5470	5429	3313	8737	10464	14104	6659	14125	14431
gene-b1093	ENA|U00096|U00096.3	1150670	1151404	+	735	1191	3636	2589	9668	13193	5675	24082	20301	10307	32239	39632	57744	27144	56540	54429
gene-b1094	ENA|U00096|U00096.3	1151615	1151851	+	237	2301	6360	4488	14289	23428	9269	38753	34373	18018	72595	86294	136907	48933	124959	98567
gene-b1095	ENA|U00096|U00096.3	1151939	1153180	+	1242	2068	5276	3907	9167	15151	6621	29019	25296	17105	59707	79774	105271	41794	98554	90799
gene-b1096	ENA|U00096|U00096.3	1153300	1154109	+	810	24	79	43	59	171	55	172	240	547	589	820	1105	361	933	704
gene-b1097	ENA|U00096|U00096.3	1154112	1155134	+	1023	34	137	59	115	233	81	357	428	528	959	1143	1517	640	1245	1176
gene-b1098	ENA|U00096|U00096.3	1155124	1155765	+	642	40	145	90	151	249	101	527	576	497	1049	1332	1748	600	1465	1375
gene-b1099	ENA|U00096|U00096.3	1155762	1156766	+	1005	77	294	197	364	665	267	1451	1343	1056	2343	3052	3650	1445	3075	2755
gene-b1100	ENA|U00096|U00096.3	1156777	1157574	+	798	123	343	272	505	986	375	1774	1616	1210	2943	3822	4945	1975	4529	3910
gene-b1101	ENA|U00096|U00096.3	1157869	1159302	+	1434	2923	9127	5789	10816	17415	6770	29101	27023	15998	78961	122335	147776	55628	139133	109066
gene-b1102	ENA|U00096|U00096.3	1159362	1161551	-	2190	6	23	14	26	46	16	60	59	438	156	243	425	122	277	288
gene-b1103	ENA|U00096|U00096.3	1161885	1162244	+	360	105	431	265	642	959	343	1206	1107	732	3240	4722	6778	2699	6023	5315
gene-b1104	ENA|U00096|U00096.3	1162247	1162624	+	378	109	306	207	445	766	292	935	814	513	2905	4318	5806	2145	5121	4518
gene-b1105	ENA|U00096|U00096.3	1162638	1163279	+	642	136	598	424	597	1007	383	1283	1321	895	4168	6099	8505	3111	7434	6165
gene-b1106	ENA|U00096|U00096.3	1163260	1164084	+	825	52	190	124	221	436	163	594	639	741	1603	2651	3497	982	2311	2078
gene-b1107	ENA|U00096|U00096.3	1164095	1165120	+	1026	111	349	258	466	971	407	1345	1398	1610	2592	4011	5872	1700	4926	3584
gene-b1108	ENA|U00096|U00096.3	1165143	1165685	+	543	222	808	539	967	1914	752	2177	2753	1941	5695	11057	14881	4098	14203	8930
gene-b1109	ENA|U00096|U00096.3	1166085	1167389	+	1305	286	913	634	1691	3125	1009	3087	4319	2556	5632	6876	8786	2477	6824	4922
gene-b1110	ENA|U00096|U00096.3	1167599	1168138	+	540	7	61	28	86	221	86	302	399	473	195	240	334	111	225	222
gene-b1111	ENA|U00096|U00096.3	1168200	1168832	-	633	30	87	48	75	159	70	164	179	201	671	1006	1747	570	1608	1372
gene-b1112	ENA|U00096|U00096.3	1169073	1169330	+	258	22	52	37	95	173	55	208	182	194	356	397	718	254	611	565
gene-b4832	ENA|U00096|U00096.3	1169303	1169402	+	100	0	0	0	1	0	0	0	1	3	0	0	0	0	0	1
gene-b1113	ENA|U00096|U00096.3	1169412	1170374	-	963	7	12	10	32	50	25	70	97	216	117	174	218	57	185	125
gene-b1114	ENA|U00096|U00096.3	1170518	1173964	-	3447	224	699	479	885	1518	536	2640	2347	2351	6340	8601	10655	4648	9379	9813
gene-b1115	ENA|U00096|U00096.3	1174092	1175165	-	1074	1	2	0	5	8	7	4	14	253	49	70	90	23	62	62
gene-b1116	ENA|U00096|U00096.3	1175427	1176626	+	1200	129	374	258	395	676	269	930	1040	953	3495	4775	6147	2005	5236	4481
gene-b1117	ENA|U00096|U00096.3	1176619	1177320	+	702	31	101	51	101	175	66	229	254	281	766	745	924	445	1141	760
gene-b1118	ENA|U00096|U00096.3	1177320	1178564	+	1245	84	155	138	208	425	147	630	618	815	1704	2127	2598	994	2172	2040
gene-b1119	ENA|U00096|U00096.3	1178593	1179504	+	912	42	177	101	226	400	144	643	560	632	1445	2696	3072	1094	2189	1798
gene-b1120	ENA|U00096|U00096.3	1179520	1180359	+	840	7	31	19	21	37	10	54	73	264	196	297	394	121	346	241
gene-b1121	ENA|U00096|U00096.3	1180479	1181267	-	789	0	2	2	0	7	1	14	9	33	16	21	31	2	9	12
gene-b1122	ENA|U00096|U00096.3	1181264	1181725	-	462	0	5	4	11	21	11	56	43	111	99	133	160	29	39	52
gene-b1123	ENA|U00096|U00096.3	1181783	1182829	-	1047	252	701	572	1195	1825	757	2542	2337	1799	5566	8017	12725	4526	11148	13098
gene-b1124	ENA|U00096|U00096.3	1182826	1183620	-	795	30	95	68	120	223	112	472	507	501	1141	886	1085	493	936	1083
gene-b1125	ENA|U00096|U00096.3	1183617	1184444	-	828	40	90	56	145	176	113	437	382	397	807	675	908	456	860	781
gene-b1126	ENA|U00096|U00096.3	1184458	1185594	-	1137	144	406	290	634	1266	533	2735	2290	2113	3863	4605	5352	1949	4744	3427
gene-b1127	ENA|U00096|U00096.3	1185844	1187070	+	1227	201	718	407	696	1153	384	895	1061	852	7495	13208	15432	5372	14883	9258
gene-b1128	ENA|U00096|U00096.3	1187119	1188240	-	1122	147	508	316	683	1207	420	1979	1904	1372	4042	5181	6781	2712	6715	5083
gene-b1129	ENA|U00096|U00096.3	1188316	1189776	-	1461	49	161	88	148	282	104	387	374	660	1545	2024	3036	957	1973	1886
gene-b1130	ENA|U00096|U00096.3	1189776	1190447	-	672	32	100	60	107	193	81	242	263	291	1007	1236	2316	732	1754	1445
gene-b4843	ENA|U00096|U00096.3	1190165	1190508	+	344	2	3	3	5	6	4	13	11	107	37	50	83	22	46	46
gene-b1131	ENA|U00096|U00096.3	1190616	1191986	-	1371	317	739	511	1658	2481	1044	5120	4228	2451	5177	4816	6158	4600	7104	9681
gene-b1132	ENA|U00096|U00096.3	1191990	1192631	-	642	105	364	265	455	949	398	1746	1596	1263	2497	2655	3057	1756	3726	2882
gene-b1133	ENA|U00096|U00096.3	1192667	1193773	-	1107	261	1024	660	1009	1967	796	3536	3513	2469	6738	8519	10022	3987	9912	6847
gene-b1134	ENA|U00096|U00096.3	1193827	1194288	-	462	17	83	44	86	168	80	245	292	338	551	843	1102	420	992	756
gene-b1135	ENA|U00096|U00096.3	1194298	1194951	-	654	22	101	66	85	201	98	310	373	322	830	1220	1786	407	958	996
gene-b1136	ENA|U00096|U00096.3	1195123	1196373	+	1251	789	1842	1519	5251	7821	3163	8297	8751	6390	17095	19227	32938	13464	31211	26330
gene-b4806	ENA|U00096|U00096.3	1196711	1196782	+	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1137	ENA|U00096|U00096.3	1196867	1197532	-	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1138	ENA|U00096|U00096.3	1197533	1198237	-	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1139	ENA|U00096|U00096.3	1198695	1199588	+	894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1140	ENA|U00096|U00096.3	1199679	1200806	-	1128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1141	ENA|U00096|U00096.3	1200787	1201032	-	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1142	ENA|U00096|U00096.3	1201069	1201380	-	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1143	ENA|U00096|U00096.3	1201497	1201838	+	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1144	ENA|U00096|U00096.3	1201776	1202084	-	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1145	ENA|U00096|U00096.3	1202259	1202933	-	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1146	ENA|U00096|U00096.3	1203024	1203224	+	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1147	ENA|U00096|U00096.3	1203268	1203825	+	558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1148	ENA|U00096|U00096.3	1203822	1204160	+	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1149	ENA|U00096|U00096.3	1204170	1205537	+	1368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1150	ENA|U00096|U00096.3	1205549	1205731	+	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1151	ENA|U00096|U00096.3	1205731	1206204	+	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1153	ENA|U00096|U00096.3	1206913	1207497	+	585	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
gene-b1154	ENA|U00096|U00096.3	1207501	1208130	+	630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1155	ENA|U00096|U00096.3	1208132	1208545	+	414	0	3	1	2	7	0	7	6	17	8	13	23	5	20	9
gene-b1156	ENA|U00096|U00096.3	1208517	1209119	-	603	1	2	2	2	2	1	10	2	31	15	27	23	8	21	17
gene-b1158	ENA|U00096|U00096.3	1209685	1210239	+	555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1159	ENA|U00096|U00096.3	1210346	1211179	+	834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1160	ENA|U00096|U00096.3	1211680	1212003	-	324	0	0	0	0	0	0	2	0	23	0	1	1	0	2	0
gene-b4738	ENA|U00096|U00096.3	1212260	1212304	-	45	0	0	0	0	1	0	0	1	15	1	0	0	0	0	0
gene-b4739	ENA|U00096|U00096.3	1212540	1212650	-	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1161	ENA|U00096|U00096.3	1212703	1213107	-	405	0	4	2	4	16	6	23	27	55	62	88	124	15	49	34
gene-b1162	ENA|U00096|U00096.3	1213328	1214059	-	732	39	86	68	154	212	86	364	363	366	924	1380	2010	472	1032	1442
gene-b1163	ENA|U00096|U00096.3	1214264	1215475	-	1212	13	46	38	76	144	54	355	271	380	395	408	515	158	265	260
gene-b1164	ENA|U00096|U00096.3	1215789	1216025	+	237	0	1	1	2	6	0	3	6	46	7	11	19	4	11	8
gene-b1165	ENA|U00096|U00096.3	1216068	1216340	+	273	0	3	1	1	5	1	1	2	63	6	9	5	2	5	4
gene-b1166	ENA|U00096|U00096.3	1216369	1216635	+	267	0	0	0	2	0	0	1	0	60	4	5	3	4	2	3
gene-b1167	ENA|U00096|U00096.3	1216748	1216996	+	249	0	0	0	0	2	1	2	4	37	0	1	4	0	2	0
gene-b1168	ENA|U00096|U00096.3	1217328	1218851	+	1524	0	2	1	3	3	4	10	8	230	13	31	44	9	21	20
gene-b4520	ENA|U00096|U00096.3	1218983	1219201	+	219	3	10	3	13	36	5	43	26	56	123	150	260	81	133	134
gene-b1171	ENA|U00096|U00096.3	1222305	1222634	-	330	2	7	4	12	27	4	26	44	194	44	66	83	28	107	50
gene-b1172	ENA|U00096|U00096.3	1222644	1222988	-	345	0	4	2	1	8	1	15	21	86	20	40	36	13	38	23
gene-b4593	ENA|U00096|U00096.3	1222990	1223163	-	174	1	0	0	0	1	0	2	1	22	4	10	16	3	4	4
gene-b4594	ENA|U00096|U00096.3	1223264	1223449	+	186	0	0	0	1	3	0	1	1	59	1	9	9	1	7	9
gene-b1174	ENA|U00096|U00096.3	1224279	1224545	-	267	51	137	95	189	329	147	537	455	338	1689	2308	3430	1377	3205	2431
gene-b1175	ENA|U00096|U00096.3	1224549	1225361	-	813	149	435	318	570	948	369	1452	1257	995	4919	7025	9526	3831	9163	7303
gene-b1176	ENA|U00096|U00096.3	1225385	1226080	-	696	99	352	208	378	709	235	929	954	709	3415	4577	6540	2214	4979	5335
gene-b1177	ENA|U00096|U00096.3	1226600	1226968	+	369	5	16	14	27	49	11	64	61	254	272	338	485	141	327	243
gene-b1178	ENA|U00096|U00096.3	1227071	1227472	-	402	31	167	91	243	456	146	377	420	331	1939	3625	4758	1276	3828	2525
gene-b4816	ENA|U00096|U00096.3	1227368	1227427	+	60	0	2	2	10	7	3	11	16	46	29	57	72	18	49	33
gene-b1179	ENA|U00096|U00096.3	1227681	1228007	+	327	26	90	69	111	185	82	270	273	319	1043	1304	2045	701	1958	1500
gene-b1180	ENA|U00096|U00096.3	1228079	1228738	+	660	68	222	171	305	429	198	585	603	633	2484	3252	5059	1794	3974	3546
gene-b1181	ENA|U00096|U00096.3	1228815	1229276	+	462	19	70	58	77	139	70	218	253	292	882	1090	1553	465	1146	1025
gene-b1182	ENA|U00096|U00096.3	1229483	1230394	-	912	0	1	1	4	6	1	3	12	173	12	22	39	8	18	24
gene-b1183	ENA|U00096|U00096.3	1230767	1231186	+	420	2	13	6	11	21	9	14	15	63	73	91	157	54	129	134
gene-b1184	ENA|U00096|U00096.3	1231186	1232454	+	1269	3	23	20	20	49	16	44	45	636	176	244	430	102	299	281
gene-b1185	ENA|U00096|U00096.3	1232500	1233030	-	531	89	259	183	283	575	224	1024	954	674	2523	3434	4587	1714	4138	3465
gene-b1186	ENA|U00096|U00096.3	1233176	1234717	-	1542	251	677	520	949	1484	639	3266	2635	2173	6468	7714	10629	4902	10882	9622
gene-b1187	ENA|U00096|U00096.3	1234938	1235657	+	720	149	452	337	646	1226	549	1938	2087	1465	3366	4900	5597	1891	5499	3577
gene-b1188	ENA|U00096|U00096.3	1235709	1237241	-	1533	18	31	31	36	83	23	48	59	367	233	379	655	174	378	404
gene-b1189	ENA|U00096|U00096.3	1237571	1238869	+	1299	50	102	86	141	199	79	360	294	658	406	415	812	440	616	1100
gene-b1190	ENA|U00096|U00096.3	1238879	1239949	+	1071	18	66	52	84	115	48	192	139	599	306	347	657	383	583	1146
gene-b4740	ENA|U00096|U00096.3	1240260	1240463	+	204	1	1	1	7	9	1	10	11	35	28	36	72	18	48	63
gene-b1191	ENA|U00096|U00096.3	1240335	1242071	-	1737	126	469	318	490	790	332	833	985	1364	4064	5727	8237	2652	6355	5935
gene-b1192	ENA|U00096|U00096.3	1242166	1243080	-	915	41	106	82	106	183	62	219	210	324	915	1266	1900	701	1637	1531
gene-b1193	ENA|U00096|U00096.3	1243180	1243791	+	612	16	58	44	60	140	56	189	241	330	472	599	832	317	1021	718
gene-b1194	ENA|U00096|U00096.3	1243793	1244527	-	735	0	2	0	1	5	1	4	8	154	14	13	32	8	27	29
gene-b1195	ENA|U00096|U00096.3	1244728	1244982	+	255	0	4	2	4	0	1	9	8	176	10	21	29	4	25	25
gene-b1196	ENA|U00096|U00096.3	1245160	1245600	+	441	2	7	1	3	13	2	7	8	198	25	41	66	10	42	27
gene-b1197	ENA|U00096|U00096.3	1245679	1247376	-	1698	32	148	85	95	204	82	233	282	587	1002	1286	2201	467	1191	993
gene-b1198	ENA|U00096|U00096.3	1247696	1249114	-	1419	387	1097	750	1026	1907	710	1903	2307	1562	8970	15415	24017	7397	16243	14209
gene-b1199	ENA|U00096|U00096.3	1249125	1249757	-	633	117	480	279	353	640	276	507	594	484	4267	6714	10573	3387	6101	8675
gene-b1200	ENA|U00096|U00096.3	1249768	1250838	-	1071	118	424	302	416	740	275	558	661	543	4624	6627	11388	4438	9047	9662
gene-b1201	ENA|U00096|U00096.3	1251066	1252985	+	1920	10	48	30	53	92	34	104	118	693	655	876	1176	511	841	1029
gene-b1202	ENA|U00096|U00096.3	1253085	1255952	-	2868	19	55	46	81	142	39	204	188	855	572	900	1264	305	884	690
gene-b1203	ENA|U00096|U00096.3	1256721	1257812	-	1092	258	893	618	1278	2443	1044	5684	5509	3513	7095	7906	8741	3758	9776	7915
gene-b1204	ENA|U00096|U00096.3	1257929	1258513	-	585	32	105	82	128	296	130	642	639	512	1067	1363	1650	554	1608	1205
gene-b1205	ENA|U00096|U00096.3	1258791	1259069	+	279	18	66	49	51	118	50	105	76	216	309	521	933	642	1801	879
gene-b1206	ENA|U00096|U00096.3	1259124	1260803	-	1680	47	168	95	185	353	142	622	642	1009	1630	2079	2753	954	1979	1909
gene-b1207	ENA|U00096|U00096.3	1260928	1261875	-	948	640	2003	1303	2999	5516	2131	11065	9100	5153	17319	20831	23781	12428	25750	26313
gene-b1208	ENA|U00096|U00096.3	1262026	1262877	-	852	243	775	591	884	1620	622	2327	2177	1413	3813	5228	6428	2583	6326	5426
gene-b1209	ENA|U00096|U00096.3	1262877	1263500	-	624	103	324	179	329	650	268	1357	1149	835	2422	3494	4577	1567	3761	3609
gene-b1210	ENA|U00096|U00096.3	1263714	1264970	+	1257	260	943	596	955	1835	640	2316	2424	1663	10403	15806	19877	5998	12845	11750
gene-b1211	ENA|U00096|U00096.3	1265012	1266094	+	1083	389	1362	863	1532	3302	1226	5341	5346	3790	10937	15304	16923	6479	16151	11938
gene-b1212	ENA|U00096|U00096.3	1266094	1266927	+	834	132	495	322	603	1160	519	2128	1869	1475	3836	5267	5885	2152	4937	3878
gene-b1213	ENA|U00096|U00096.3	1266924	1267316	+	393	36	108	82	127	285	88	581	540	404	1235	1560	1889	547	1182	1071
gene-b1214	ENA|U00096|U00096.3	1267320	1268129	+	810	150	471	324	568	1355	522	2181	2165	1573	5133	7868	9466	2703	6630	5234
gene-b1215	ENA|U00096|U00096.3	1268165	1269019	+	855	490	1527	940	2843	4281	1698	7140	6456	3905	13003	19834	21381	8274	21312	13584
gene-b4419	ENA|U00096|U00096.3	1269168	1269275	-	108	1	1	3	6	1	1	5	4	9	7	12	10	0	16	12
gene-b4420	ENA|U00096|U00096.3	1269323	1269389	+	67	0	10	8	14	52	13	66	75	45	145	149	274	77	193	150
gene-b4421	ENA|U00096|U00096.3	1269703	1269810	-	108	4	7	8	9	27	9	18	20	53	36	42	44	22	57	56
gene-b4422	ENA|U00096|U00096.3	1269858	1269923	+	66	0	4	4	4	16	4	15	21	18	30	64	75	11	25	31
gene-b4423	ENA|U00096|U00096.3	1270238	1270345	-	108	0	1	0	3	2	0	1	1	6	5	2	7	5	4	7
gene-b4424	ENA|U00096|U00096.3	1270393	1270460	+	68	0	0	0	0	1	0	2	1	12	4	3	3	1	1	0
gene-b1216	ENA|U00096|U00096.3	1270749	1271849	-	1101	16	50	34	60	151	46	201	223	262	453	584	748	293	599	504
gene-b1217	ENA|U00096|U00096.3	1272119	1272349	+	231	3	14	3	14	26	10	34	33	88	77	68	132	43	114	82
gene-b1218	ENA|U00096|U00096.3	1272507	1273202	+	696	18	70	63	102	180	67	194	189	701	808	1184	1743	496	1240	1228
gene-b1219	ENA|U00096|U00096.3	1273246	1273599	-	354	83	254	150	749	1060	403	1358	1396	836	2053	2850	3838	1415	3268	2441
gene-b1220	ENA|U00096|U00096.3	1273784	1275178	+	1395	7	34	26	30	53	23	60	59	564	244	301	536	153	449	361
gene-b1221	ENA|U00096|U00096.3	1275179	1275829	-	651	190	615	418	742	1115	428	1284	1212	930	5319	7667	12455	3928	10362	6819
gene-b1222	ENA|U00096|U00096.3	1275822	1277618	-	1797	98	224	225	295	472	230	604	576	655	3372	4255	8900	3218	6378	7986
gene-b1223	ENA|U00096|U00096.3	1277957	1279348	+	1392	456	753	1248	991	1048	1017	1178	1065	2062	10585	11995	50378	11134	30833	43261
gene-b4813	ENA|U00096|U00096.3	1279337	1279520	+	184	20	45	38	106	139	92	333	285	161	584	703	1892	464	1392	972
gene-b1224	ENA|U00096|U00096.3	1279864	1283607	+	3744	1792	2864	4126	5792	4722	4636	10974	7338	12369	35845	35507	130801	41477	79045	162170
gene-b1225	ENA|U00096|U00096.3	1283604	1285142	+	1539	964	1550	2130	4877	4156	3897	12257	8260	10219	19517	23328	54708	9819	37755	11918
gene-b1226	ENA|U00096|U00096.3	1285139	1285849	+	711	309	689	885	1227	1209	965	3347	2181	2708	7747	10071	21106	2726	15385	1852
gene-b1227	ENA|U00096|U00096.3	1285849	1286526	+	678	309	923	1145	1597	1622	1146	4390	2767	3451	9133	14732	23838	2450	18776	1496
gene-b1228	ENA|U00096|U00096.3	1286709	1286984	+	276	0	1	6	1	4	1	14	1	90	7	13	32	1	10	5
gene-b4425	ENA|U00096|U00096.3	1287066	1287236	-	171	0	1	0	0	0	0	2	4	1	12	22	18	1	27	13
gene-b1229	ENA|U00096|U00096.3	1287087	1287176	-	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1230	ENA|U00096|U00096.3	1287244	1287328	-	85	170	411	317	482	1195	552	1129	1609	915	2751	6522	5191	1103	4608	2885
gene-b1231	ENA|U00096|U00096.3	1287538	1287622	-	85	35	112	71	95	272	96	457	679	184	1145	1579	2066	491	2147	1401
gene-b1232	ENA|U00096|U00096.3	1287782	1288624	-	843	193	620	367	958	1793	635	3038	2939	1927	5949	7965	9678	3771	9828	7462
gene-b1233	ENA|U00096|U00096.3	1288674	1289132	-	459	88	244	148	353	738	224	1137	1029	754	2723	3777	4714	1567	3796	3312
gene-b1234	ENA|U00096|U00096.3	1289245	1290150	+	906	53	160	99	171	353	124	407	481	668	1378	2112	2805	819	2262	1882
gene-b1235	ENA|U00096|U00096.3	1290242	1291255	+	1014	31	91	53	117	236	84	291	352	464	821	1116	1472	581	1366	1151
gene-b1236	ENA|U00096|U00096.3	1291457	1292365	+	909	177	480	286	1057	1705	680	2665	2541	1633	4539	5709	7879	3307	7768	6356
gene-b1237	ENA|U00096|U00096.3	1292509	1292922	-	414	2606	7585	5214	31833	42558	18751	66105	59425	31802	67107	87536	122947	47942	102301	82291
gene-b1238	ENA|U00096|U00096.3	1293527	1294144	+	618	26	76	42	119	238	94	541	535	448	546	647	773	312	819	528
gene-b1241	ENA|U00096|U00096.3	1295446	1298121	-	2676	11518	61261	26388	64875	120261	34327	105585	165229	68033	361749	895401	1017205	202046	657545	332761
gene-b4771	ENA|U00096|U00096.3	1298514	1298567	+	54	1	4	3	7	6	4	10	9	10	24	23	70	26	39	40
gene-b1242	ENA|U00096|U00096.3	1298598	1299245	+	648	17	59	49	67	160	63	196	242	374	928	1428	2016	524	1523	1121
gene-b4711	ENA|U00096|U00096.3	1299567	1300547	+	981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b1243	ENA|U00096|U00096.3	1301182	1302813	+	1632	3342	9052	6680	11054	17339	6941	30199	23927	18252	98055	120802	217102	84969	165718	154240
gene-b1244	ENA|U00096|U00096.3	1302899	1303819	+	921	565	1365	1006	1593	2551	1022	4693	3773	3539	15656	18678	34545	12966	25219	23446
